Pegelname;Messstellen Nr.
Adelshausen;42780500
Ahl UW;24781206
Alsfeld;42880458
Asslar;25842500
Auhammer;42810204
Bad Hersfeld 1;42710050
Bad Hersfeld 2;42590301
Bad Salzschlirf;42430156
Bad Soden;24781909
Bad Vilbel;24870055
Bartenhausen;25822659
Bensheim;23950104
Biedenkopf;25810558
Bischhausen;41850054
Bonbaden;25850257
Braunsen;44430055
Breidenbach;25810354
Bruchenbruecken;24841250
Buedingen;24861054
Dalwigksthal;42840453
Dillenburg 1;25840708
Dillenburg 2;25840650
Eberstadt;23960709
Ehringen;44480552
Eichelsachsen;24810359
Eppstein;24960307
Essershausen;25860851
Etzelmuehle;25831059
Fahrenbach;23940359
Friedberg;24841206
Fritzlar;42870057
Gelnhausen;24783450
Gemuenden;25822251
Glauberg;24860754
Gross-Bieberau 2;24761005
Gungelshausen;42881100
Guenthers;41450056
Haiger;25840253
Hainmuehle;25822808
Hanau;24784259
Harreshausen;24762653
Hebel;42883558
Heimboldshausen;41510205
Helmarshausen;44950055
Helsa;42960105
Herbornseelbach;25841507
Hermannspiegel;42670557
Hettenhausen;42110304
Hofgeismar;44840308
Hoheneiche;41860900
Huemme;44850108
Ilbenstadt;24850058
Jossa-neu;24480695
Kaemmerzell;42350057
Kassel;24783358
Kerzell;42250256
Kirchheim;42560300
Kransberg;24840950
Lollar;25831605
Lorsch;23942300
Luetterz;42360550
Marborn;24781159
Marburg;25830056
Martinsthal;25140058
Melzdorf;42650050
Michelbach;25880305
Michelstadt;24740606
Muenster;24840407
Muschenheim;24840600
Nauheim;23980353
Niddawitzhausen;41890059
Niederbrechen;25871756
Nieder-Florstadt;24830050
Niederjossa;42540358
Niederwetter;25811255
Ober-Erlenbach;24880208
Oberkleen;25832357
Ober-Ofleiden;25821259
Pfaffental;25650156
Philippsthal;41490050
Riebelsdorf;428832990
Rod an der Weil;25860454
Roellshausen;42880800
Rothemann;42260250
Ruppertsburg;24820206
Schlechtenwegen;42410104
Schotten 1;24810155
Schotten 2;24810202
Silges;42660451
Steinau;24780757
Steinau 2;24781002
Steinberg;24860109
Unter-Schmitten;24810600
Uttershausen;42882806
Windecken;24861407
Ziegenhagen 1;41980355
