Fluss;Pegel;Area
Aar;Herbornseelbach;134545186.3
Aar;Michelbach;144318570.4
Altefeldbach;Bad Salzschlirf;135000903.8
Altefeldbach;Schlechtenwegen;29459574.85
Antreff;Gungelshausen;113893924.4
Aula;Kirchheim;72111641.01
Bieber;Kassel;79800397.81
Diemel;Helmarshausen;1757395999
Dietzhoehle;Dillenburg 2;81925634.41
Dill;Asslar;693990399.9
Dill;Dillenburg 1;251080592.1
Dill;Haiger;63082970.3
Doellbach;Rothemann;69604266.21
Eder;Auhammer;489601265.1
Eder;Fritzlar;1800724676
Efze;Hebel;218413824.8
Eichelbach;Eichelsachsen;23848554.29
Emsbach;Niederbrechen;305637296
Erlenbach;Ober-Erlenbach;71204999.84
Erpe;Ehringen;137732074.5
Esse;Huemme;187691725
Fischbach;Gross-Bieberau 2;35556338.91
Fliede;Kerzell;190004668.3
Fulda;Bad Hersfeld 1;2120724498
Fulda;Hettenhausen;54682716.16
Fulda;Kaemmerzell;562041980.8
Geis;Bad Hersfeld 2;74883490.39
Gersprenz;Harreshausen;464816802.7
Grenff;Riebelsdorf;80431499.76
Haune;Hermannspiegel;421960498.4
Haune;Melzdorf;107493569.1
Horloff;Ruppertsburg;41257054.65
Jossa;Jossa-neu;146814783.2
Jossa;Niederjossa;113264041
Kinzig;Ahl UW;231645430
Kinzig;Gelnhausen;673245560.9
Kinzig;Hanau;927760580.9
Kinzig;Steinau;116167685.9
Kleebach;Oberkleen;23588380.87
Laeunsbach;Schotten 2;5905481.555
Lahn;Biedenkopf;304328932
Lahn;Marburg;1667126250
Lauter;Bensheim;26856005.34
Lempe;Hofgeismar;49215850.52
Losse;Helsa;53946669.49
Lueder;Luetterz;181803646.7
Lumda;Lollar;128922646.8
Modau;Eberstadt;85976162.04
Muemling;Michelstadt;130999403.1
Nidda;Bad Vilbel;1621061595
Nidda;Ilbenstadt;1073589952
Nidda;Nieder-Florstadt;526176609.6
Nidda;Schotten 1;27071501.72
Nidda;Unter-Schmitten;126835222.3
Nidder;Glauberg;153986007.3
Nidder;Steinberg;24585214.22
Nidder;Windecken;392467674.3
Nuest;Silges;78842631.97
Ohm;Hainmuehle;916625680.9
Ohm;Ober-Ofleiden;317045302.3
Orke;Dalwigksthal;228808523.9
Perf;Breidenbach;93113358.99
Pfieffe;Adelshausen;116131615.2
Rautenbach;Ziegenhagen 1;14248082.6
Salz;Bad Soden;89330138.33
Salzboede;Etzelmuehle;81138019.65
Schwalm;Alsfeld;131493849.4
Schwalm;Roellshausen;250847712.7
Schwalm;Uttershausen;987011232.5
Schwarzbach;Eppstein;110368185.8
Schwarzbach;Nauheim;175233651.2
Seemenbach;Buedingen;93689112.67
Solmsbach;Bonbaden;98413161.08
Sontra;Hoheneiche;224478203.2
Steinbach;Steinau 2;61089934.42
Twiste;Braunsen;116897497.8
Ulmbach;Marborn;20069567.86
Ulster;Guenthers;183039745.6
Ulster;Philippsthal;420286210.1
Usa;Friedberg;183595925.3
Usa;Kransberg;85469446.01
Walluf;Martinsthal;24443981.98
Wehre;Bischhausen;150027507.5
Wehre;Niddawitzhausen;429549623.4
Weil;Essershausen;205843874.3
Weil;Rod an der Weil;77929172.02
Werra;Heimboldshausen;2793572842
Weschnitz;Fahrenbach;44237325.79
Weschnitz;Lorsch;398508525.9
Wetschaft;Niederwetter;173759726.4
Wetter;Bruchenbruecken;513983970.3
Wetter;Muenster;85924303.5
Wetter;Muschenheim;175930568.4
Wisper;Pfaffental;170127503
Wohra;Bartenhausen;274600973.2
Wohra;Gemuenden;102180357.1
